t,ax,ay,az,gx,gy,gz,qw,qi,qj,qk
0.0322812,0.0390625,-0.230469,9.76953,0,0,0,1,0,0,0
0.0474182,0.078125,-0.191406,9.76953,0,0,0,1,0,0,0
0.0638932,0.0390625,-0.191406,9.72656,0,0,0,1,0,0,0
0.0795907,0.0390625,-0.230469,9.72656,0,0,0,1,0,0,0
0.110889,0.0390625,-0.191406,9.72656,0,0,0,1,0,0,0
0.145568,0.0390625,-0.191406,9.72656,-0.00195312,-0.00195312,0,1,0,0,0
0.182812,0.0390625,-0.191406,9.72656,-0.00195312,0,-0.00195312,1,0,0,0
0.204321,0.0390625,-0.191406,9.72656,-0.00195312,0,-0.00195312,1,0,0,0
0.22933,0.078125,-0.191406,9.76953,-0.00195312,0,-0.00195312,1,0,0,0
0.256255,0.078125,-0.191406,9.76953,0,0,0,1,0,0,0
0.281094,0.0390625,-0.191406,9.72656,0,0,0,1,0,0,0
0.309626,0.0390625,-0.191406,9.72656,0.00195312,0,0,1,0,0,0
0.336084,0.0390625,-0.191406,9.76953,0.00195312,0,0,1,0,0,0
0.362123,0.0390625,-0.191406,9.76953,0.00195312,0,0,1,0,0,0
0.390645,0.0390625,-0.191406,9.76953,-0.00195312,0,0,1,0,0,0
0.417734,0.0390625,-0.191406,9.76953,0,0,-0.00195312,1,0,0,0
0.445231,0.0390625,-0.191406,9.76953,-0.00195312,0,0,1,0,0,0
0.471668,-0.507812,0.00390625,-0.0195312,-0.00195312,0,0,1,0,0,0
0.500248,-0.507812,0.00390625,-0.0195312,0,0.00195312,0.00195312,1,0,0,0
0.527318,0.0390625,-0.191406,9.76953,0,0.00195312,0.00195312,1,0,0,0
0.553351,0.0390625,-0.191406,9.76953,0,0.00195312,0.00195312,1,0,0,0
0.581904,0.0390625,-0.191406,9.76953,0,0,0,1,0,0,0
0.609053,0.0390625,-0.191406,9.76953,0,0,0,1,0,0,0
0.637684,0,-0.191406,9.76953,0,0,0,1,0,0,0
0.663719,-0.0078125,0.00390625,-0.0195312,0,0,0,1,0,0,0
