t,ax,ay,az,gx,gy,gz,qw,qi,qj,qk
0.0169344,0,-0.113281,9.76562,0,0,0,1,0,0,0
0.0457376,0,-0.113281,9.76562,0,0,0,1,0,0,0
0.070384,0,-0.152344,9.76562,0,0,0,1,0,0,0
0.0975689,-0.0078125,-0.0117188,0.0273438,0,0,0,1,0,0,0
0.123237,0,-0.152344,9.76562,0,0,0,1,0,0,0
0.14816,0,-0.113281,9.76562,0,0,0,1,0,0,0
0.17668,0,-0.113281,9.76562,-0.00195312,0.00195312,0.00195312,1,0,0,0
0.20372,0,-0.152344,9.80469,-0.00195312,0.00195312,0.00195312,1,0,0,0
0.231184,0.0390625,-0.152344,9.76562,-0.00195312,0.00195312,0.00195312,1,0,0,0
0.257875,0.0390625,-0.152344,9.76562,0.00195312,-0.00195312,0,1,0,0,0
0.28639,0,-0.113281,9.76562,0.00195312,-0.00195312,0,1,0,0,0
0.31242,0,-0.113281,9.76562,0,0,-0.00195312,1,0,0,0
0.340303,0,-0.113281,9.80469,0,0,-0.00195312,1,0,0,0
0.367396,0,-0.113281,9.80469,-0.00390625,0,0,1,0,0,0
0.395402,0,-0.152344,9.73047,-0.00390625,0,0,1,0,0,0
0.422057,-0.0390625,-0.152344,9.76562,-0.00390625,0,0,1,0,0,0
0.449952,-0.0390625,-0.152344,9.76562,0.00390625,0,-0.00195312,1,0,0,0
0.477031,-0.0390625,-0.152344,9.76562,0,0,-0.00195312,1,0,0,0
0.505755,-0.0390625,-0.152344,9.76562,-0.00195312,0,0,1,0,0,0
0.531801,0,-0.191406,9.80859,-0.00195312,0,0,1,0,0,0
0.559688,0,-0.00390625,-0.0507812,-0.00195312,0,0,1,0,0,0
0.586178,0,-0.152344,9.76562,-0.00195312,0,0,1,0,0,0
0.613762,0,-0.152344,9.76562,-0.00195312,0,0,1,0,0,0
0.639859,-0.0390625,0.00390625,-0.0117188,-0.00195312,0,0,1,0,0,0
0.66838,-0.0390625,0.00390625,-0.0117188,0.00195312,0.00195312,0.00195312,1,0,0,0
0.695047,-0.0390625,-0.152344,9.76562,0.00195312,0.00195312,0.00195312,1,0,0,0
0.721144,0,-0.152344,9.80469,0.00195312,0.00195312,0.00195312,1,0,0,0
0.749796,0,-0.152344,9.80469,0,0,0.00195312,1,0,0,0
0.776838,0,-0.152344,9.80469,0,0.00195312,0.00195312,1,0,0,0
0.805647,0,-0.152344,9.80469,-0.00390625,-0.00195312,0,1,0,0,0
0.831742,0,-0.152344,9.76562,-0.00390625,-0.00195312,0,1,0,0,0
0.85963,0.0390625,0.00390625,-0.0117188,-0.00390625,-0.00195312,0,1,0,0,0
0.886761,0,-0.113281,9.76562,-0.00390625,-0.00195312,0,1,0,0,0
0.913405,0,-0.113281,9.80469,-0.00390625,-0.00195312,0,1,0,0,0
0.941207,0,-0.113281,9.80469,0,0,0,1,0,0,0
0.968332,0,-0.113281,9.80469,0,0,0,1,0,0,0
0.997084,0,-0.113281,9.80469,0,0,0,1,0,0,0
1.0235,0,-0.152344,9.80469,0,0,0,1,0,0,0
1.04964,0,-0.152344,9.76562,0,0,0,1,0,0,0
1.07817,0,-0.152344,9.76562,0,0,0,1,0,0,0
1.10522,0,-0.152344,9.76562,0,0,0,1,0,0,0
1.13269,0,-0.152344,9.76562,0,0,0,1,0,0,0
1.15926,0,-0.152344,9.76562,0,0,0,0.999939,-0.00787354,0,0.00183105
1.18758,0,-0.152344,9.76562,0,0,0,0.999939,-0.00787354,0,0.00183105
1.21464,0,-0.152344,9.80469,0,0,0,0.999939,-0.00787354,0,0.00183105
1.24066,0,-0.113281,9.76562,0,0,0,0.999939,-0.00787354,0,0.00183105
1.2692,0,-0.113281,9.76562,0,0,0,0.999939,-0.00787354,0,0.00183105
1.29626,0,-0.113281,9.76562,0,0,0,0.999939,-0.00787354,0,0.00183105
1.32419,0,-0.152344,9.80469,0,0,0,0.999939,-0.00787354,0,0.00183105
1.35023,0,-0.152344,9.80469,0,0,0,0.999939,-0.00787354,0,0.00183105
1.37839,0,-0.152344,9.80469,-0.0078125,-0.00195312,0.0507812,0.999939,-0.00787354,0,0.00183105
1.40544,0,-0.152344,9.80469,0.00195312,0,0.0214844,0.999939,-0.00787354,0,0.00183105
1.43295,0,-0.152344,9.80469,0,0,-0.00585938,0.999939,-0.00787354,0,0.00183105
1.45906,0.0390625,0.332031,-0.00390625,0,0,-0.00585938,0.999939,-0.00787354,0,0.00183105
1.48746,0.0390625,0.332031,-0.00390625,0,0,0.0605469,0.999939,-0.00787354,0,0.00183105
1.51475,-0.191406,-0.078125,9.76953,0,0,0.0605469,0.999939,-0.00787354,0,0.00183105
1.54085,0.191406,0.269531,9.80859,0,0,0.0605469,0.999939,-0.00787354,0,0.00183105
1.5694,0.191406,0.269531,9.80859,0,0,-0.0117188,0.999939,-0.00787354,0,0.00183105
1.59655,0.191406,0.269531,9.80859,0.00390625,0.00195312,-0.00195312,0.999939,-0.00787354,0,0.00183105
