t,ax,ay,az,gx,gy,gz,qw,qi,qj,qk
0.032296,0.0390625,-0.152344,9.73047,0,0,0,1,0,0,0
0.0474577,0,-0.191406,9.76953,0,0,0,1,0,0,0
0.0639931,0,-0.191406,9.72656,0,0,0,1,0,0,0
0.0793619,0.0390625,-0.191406,9.76953,0,0,0,1,0,0,0
0.110128,0,-0.191406,9.72656,0,0,0,1,0,0,0
0.145923,0,-0.191406,9.72656,0.00195312,0,0.00195312,1,0,0,0
0.183304,0,-0.191406,9.72656,0,0,0.00195312,1,0,0,0
0.205799,0.0390625,-0.191406,9.72656,0,0,0.00195312,1,0,0,0
0.230429,0.0390625,-0.191406,9.72656,-0.00195312,-0.00195312,0,1,0,0,0
0.260702,0.0390625,-0.191406,9.72656,0,0,0,1,0,0,0
0.286363,0.0390625,-0.191406,9.72656,0.00195312,0,0,1,0,0,0
0.312404,0.0390625,-0.191406,9.72656,-0.00195312,0.00195312,0.00195312,1,0,0,0
0.341215,0.0390625,-0.191406,9.72656,0,0,-0.00195312,1,0,0,0
0.368067,0,-0.191406,9.72656,0,0,-0.00195312,1,0,0,0
0.396891,0.0390625,-0.191406,9.72656,0,0,-0.00195312,1,0,0,0
0.422932,-0.0234375,-0.00390625,0.0273438,0,0,-0.00195312,1,0,0,0
0.451507,-0.0234375,-0.00390625,0.0273438,-0.00195312,0,0,1,0,0,0
0.478684,-0.0234375,-0.00390625,0.0273438,0,-0.00195312,0.00195312,1,0,0,0
0.50618,0.0390625,-0.191406,9.72656,0,-0.00195312,0.00195312,1,0,0,0
0.532201,-0.0390625,-0.152344,9.76562,0,-0.00195312,0.00195312,1,0,0,0
0.560063,0,-0.152344,9.76562,0,-0.00195312,0.00195312,1,0,0,0
0.587153,0,-0.152344,9.76562,0,-0.00195312,0,1,0,0,0
0.613179,0,-0.152344,9.76562,-0.00195312,0,0,1,0,0,0
0.641734,0,-0.152344,9.76562,0,0,0,1,0,0,0
0.668884,0,-0.152344,9.76562,0,0,0.00195312,1,0,0,0
0.697135,0.0390625,-0.191406,9.76953,0,0,0.00195312,1,0,0,0
0.721758,0,-0.191406,9.72656,0,0,0.00195312,1,0,0,0
0.748723,0,-0.191406,9.72656,-0.00195312,0,-0.00195312,1,0,0,0
0.774006,0,-0.191406,9.72656,0,0,-0.00195312,1,0,0,0
0.79907,0,-0.152344,9.73047,0,0,-0.00195312,1,0,0,0
0.827743,0.0390625,-0.152344,9.84766,0,0,-0.00195312,1,0,0,0
0.853835,0,-0.152344,9.73047,0,0,-0.00195312,1,0,0,0
0.881782,0,-0.152344,9.73047,0.00195312,0,0,1,0,0,0
0.908886,0,-0.152344,9.73047,0,0,0.00195312,1,0,0,0
0.93749,0,-0.152344,9.73047,0,0,0,1,0,0,0
0.963529,0,-0.152344,9.73047,0,0,0,1,0,0,0
0.991976,0,-0.152344,9.73047,0,0,0,0.999939,-0.00964355,-0.000366211,0
1.0192,0,-0.152344,9.73047,0.00195312,0,0.00195312,0.999939,-0.00964355,-0.000366211,0
1.0473,0,-0.152344,9.73047,0,-0.00195312,-0.00195312,0.999939,-0.00964355,-0.000366211,0
1.07333,0.0390625,-0.152344,9.73047,0,-0.00195312,-0.00195312,0.999939,-0.00964355,-0.000366211,0
1.10214,0.0390625,-0.152344,9.73047,0.00390625,0,0.00195312,0.999939,-0.00964355,-0.000366211,0
1.12948,0,-0.152344,9.73047,0.00390625,0,0.00195312,0.999939,-0.00964355,-0.000366211,0
1.158,0,-0.191406,9.76953,0.00390625,0,0.00195312,0.999939,-0.00964355,-0.000366211,0
1.18403,0,-0.152344,9.76562,0.00390625,0,0.00195312,0.999939,-0.00964355,-0.000366211,0
1.21192,-0.0078125,0.0195312,-0.0273438,0.00390625,0,0.00195312,0.999939,-0.00964355,-0.000366211,0
1.23908,-0.0078125,0.0195312,-0.0273438,0,0,0,0.999939,-0.00964355,-0.000366211,0
1.26794,-0.0078125,0.0195312,-0.0273438,0,0,0,0.999939,-0.00964355,-0.000366211,0
1.2946,0,-0.191406,9.76953,0,0,0,0.999939,-0.00964355,-0.000366211,0
1.32249,-0.0078125,0.0195312,0.0117188,0,0,0,0.999939,-0.00964355,-0.000366211,0
1.34893,0,-0.152344,9.73047,0,0,0,0.999939,-0.00964355,-0.000366211,0
1.37557,0,-0.152344,9.73047,0,0,0,0.999939,-0.00964355,-0.000366211,0
1.4032,0,-0.152344,9.73047,0,0,0,0.999939,-0.00964355,-0.000366211,0
1.43028,0,-0.152344,9.73047,0.00195312,0,-0.015625,0.999939,-0.00964355,-0.000366211,0
1.4582,0,-0.34375,9.73047,0.00195312,0,-0.015625,0.999939,-0.00964355,-0.000366211,0
1.48493,-0.0390625,0.0390625,9.73047,0.00195312,0,-0.015625,0.999939,-0.00964355,-0.000366211,0
1.5126,-0.015625,0.125,-0.0273438,0.00195312,0,-0.015625,0.999939,-0.00964355,-0.000366211,0
1.53966,-0.015625,0.125,-0.0273438,-0.00195312,0.00195312,-0.0371094,0.999939,-0.00964355,-0.000366211,0
1.56781,-0.015625,0.125,-0.0273438,0.00195312,0,-0.015625,0.999939,-0.00964355,-0.000366211,0
1.59384,0.0390625,0.0390625,9.76562,0.00195312,0,-0.015625,0.999939,-0.00964355,-0.000366211,0
1.62204,0.0390625,0.0390625,9.76562,0,0,-0.0410156,0.999939,-0.00964355,-0.000366211,0
1.64849,0.0390625,-0.152344,9.76562,0,0,-0.0410156,0.999939,-0.00964355,-0.000366211,0
1.67663,0.0390625,-0.152344,9.76562,0.00585938,0,-0.0449219,0.999939,-0.00964355,-0.000366211,0
1.70265,-0.015625,0.046875,0.0117188,0.00585938,0,-0.0449219,0.999939,-0.00964355,-0.000366211,0
1.73113,-0.015625,0.046875,0.0117188,-0.00195312,0,-0.0605469,0.999939,-0.00964355,-0.000366211,0
1.75779,0.0390625,-0.152344,9.76562,-0.00195312,0,-0.0605469,0.999939,-0.00964355,-0.000366211,0
1.78526,0.078125,0,9.76562,-0.00195312,0,-0.0605469,0.999939,-0.00964355,-0.000366211,0
1.81145,0.078125,0,9.76562,-0.00195312,0,-0.0605469,0.999939,-0.00762939,-0.000671387,-0.00805664
1.84,0.078125,0,9.76562,-0.00390625,-0.00195312,-0.0976562,0.999939,-0.00762939,-0.000671387,-0.00805664
1.86705,0.078125,0,9.76562,0.00195312,0,-0.115234,0.999939,-0.00762939,-0.000671387,-0.00805664
1.89455,0,-0.460938,9.76562,0.00195312,0,-0.115234,0.999939,-0.00762939,-0.000671387,-0.00805664
