t,ax,ay,az,gx,gy,gz,qw,qi,qj,qk
0.0108839,0,0,0,-0.0410156,0.0234375,0.0351562,1,0,0,0
0.0321749,0,0,0,-0.0175781,0.0078125,-0.00585938,1,0,0,0
0.053347,-0.078125,-0.34375,10.1094,-0.0175781,0.0078125,-0.00585938,1,0,0,0
0.0736462,-0.078125,-0.34375,10.1094,0.126953,-0.0175781,-0.0761719,1,0,0,0
0.0942015,0.152344,-0.113281,10.5742,0.126953,-0.0175781,-0.0761719,1,0,0,0
0.115381,0.152344,-0.113281,10.5742,0.078125,-0.0351562,-0.03125,1,0,0,0
0.134942,0.152344,-0.113281,10.5742,0.0195312,-0.0449219,-0.0371094,1,0,0,0
0.155415,0.152344,0.0390625,11.1094,0.0195312,-0.0449219,-0.0371094,1,0,0,0
0.175886,0.152344,0.0390625,11.1094,-0.279297,-0.103516,0.046875,1,0,0,0
0.195137,0.152344,0.0390625,11.1094,-0.443359,0.0117188,0.166016,1,0,0,0
0.215603,0.152344,0.0390625,11.1094,-0.373047,0.00976562,0.158203,1,0,0,0
0.23603,0.152344,0.0390625,11.1094,-0.148438,0.0078125,0,1,0,0,0
0.255165,0.152344,0.0390625,11.1094,0.101562,-0.0683594,-0.0878906,1,0,0,0
0.27562,0.152344,0.0390625,11.1094,0.171875,-0.119141,-0.138672,1,0,0,0
0.29514,0.152344,0.0390625,11.1094,-0.15625,-0.0722656,-0.128906,1,0,0,0
0.315546,0.078125,-0.574219,9.6875,-0.15625,-0.0722656,-0.128906,1,0,0,0
0.335986,0.078125,-0.574219,9.6875,-0.574219,0.183594,0.105469,1,0,0,0
0.355103,0.078125,-0.574219,9.6875,-0.0449219,0.0703125,-0.00976562,1,0,0,0
0.375512,0.078125,-0.574219,9.6875,0.332031,0.0273438,-0.164062,1,0,0,0
0.395059,0.078125,-0.574219,9.6875,0.224609,0.125,-0.255859,1,0,0,0
0.426214,0.078125,-0.574219,9.6875,0.25,-0.00195312,-0.273438,1,0,0,0
0.441568,0.078125,-0.574219,9.6875,0.125,-0.0957031,-0.119141,1,0,0,0
0.461839,0.078125,-0.574219,9.6875,0.0429688,-0.0878906,-0.117188,1,0,0,0
0.482998,-0.613281,-0.191406,9.34375,0.0429688,-0.0878906,-0.117188,1,0,0,0
0.50327,-0.613281,-0.191406,9.34375,-0.167969,-0.0214844,-0.240234,1,0,0,0
0.523759,-0.230469,0.078125,9.03906,-0.167969,-0.0214844,-0.240234,1,0,0,0
0.544919,-0.230469,0.078125,9.03906,-0.287109,0.0800781,-0.193359,1,0,0,0
0.564429,-0.230469,0.078125,9.03906,-0.15625,-0.00390625,-0.111328,1,0,0,0
0.585603,0.535156,0.191406,8.88281,-0.15625,-0.00390625,-0.111328,1,0,0,0
0.606113,0.535156,0.191406,8.88281,-0.0898438,0.164062,0.0546875,1,0,0,0
0.625298,0.535156,0.191406,8.88281,0.103516,0.0957031,0.123047,1,0,0,0
0.64577,0.535156,0.191406,8.88281,0.0292969,0.0742188,0.169922,1,0,0,0
