t,ax,ay,az,gx,gy,gz,qw,qi,qj,qk
0.0321881,0.574219,0.230469,10.2305,0,0,0,1,0,0,0
0.0469867,0.460938,0.191406,10.1875,0,0,0,1,0,0,0
0.06293,0.382812,0.113281,10.1484,0,0,0,1,0,0,0
0.0789738,0.113281,-0.382812,9.96484,0,0,0,1,0,0,0
0.117944,0.113281,-0.382812,9.96484,0.0273438,0.0136719,0.0605469,1,0,0,0
0.156753,-0.0703125,0.195312,0.386719,0.0273438,0.0136719,0.0605469,1,0,0,0
0.189722,-0.0703125,0.195312,0.386719,-0.369141,-0.0605469,-0.00976562,1,0,0,0
0.214966,-0.382812,-0.917969,9.88672,-0.369141,-0.0605469,-0.00976562,1,0,0,0
0.242899,-0.421875,-0.269531,9.65234,-0.369141,-0.0605469,-0.00976562,1,0,0,0
0.269598,-0.421875,-0.269531,9.65234,-0.128906,0.138672,-0.185547,1,0,0,0
0.29816,-0.113281,0,9.16016,-0.128906,0.138672,-0.185547,1,0,0,0
0.324249,-0.152344,-0.113281,9.34766,-0.128906,0.138672,-0.185547,1,0,0,0
0.352103,-0.0820312,0.609375,-0.613281,-0.128906,0.138672,-0.185547,1,0,0,0
0.37922,-0.0820312,0.609375,-0.613281,-0.263672,0.00976562,0.00390625,1,0,0,0
0.407434,-0.152344,-0.691406,9.07812,-0.263672,0.00976562,0.00390625,1,0,0,0
0.433482,-0.382812,-0.421875,9.46094,-0.263672,0.00976562,0.00390625,1,0,0,0
0.462105,-0.382812,-0.421875,9.46094,-0.214844,-0.0078125,-0.09375,1,0,0,0
0.48918,-0.382812,-0.421875,9.46094,-0.00195312,0.0546875,-0.0800781,1,0,0,0
0.517305,-0.382812,-0.421875,9.46094,0.0117188,0.0371094,-0.216797,1,0,0,0
0.543334,0.605469,0.953125,0.167969,0.0117188,0.0371094,-0.216797,1,0,0,0
0.572144,0.605469,0.953125,0.167969,-0.166016,0.0195312,0.0234375,1,0,0,0
0.599277,0.0390625,-1.14844,9.57812,-0.166016,0.0195312,0.0234375,1,0,0,0
0.627457,-0.113281,-0.0351562,10.1914,-0.166016,0.0195312,0.0234375,1,0,0,0
0.653639,-0.230469,-0.269531,10.6523,-0.166016,0.0195312,0.0234375,1,0,0,0
0.68224,-0.230469,-0.269531,10.6523,-0.0839844,-0.0839844,0.0761719,1,0,0,0
0.709541,-0.230469,-0.269531,10.6523,-0.203125,-0.148438,0.179688,1,0,0,0
0.737291,-0.421875,0.078125,10.418,-0.203125,-0.148438,0.179688,1,0,0,0
0.761935,0.0078125,1.73438,0.78125,-0.203125,-0.148438,0.179688,1,0,0,0
0.788895,0.0078125,1.73438,0.78125,-0.0761719,-0.273438,0.212891,1,0,0,0
0.813557,0.0078125,1.73438,0.78125,0.0585938,-0.269531,0.355469,1,0,0,0
0.842104,0.171875,1.08984,-0.605469,0.0585938,-0.269531,0.355469,1,0,0,0
0.869295,0.171875,1.08984,-0.605469,0.320312,-0.101562,0.373047,1,0,0,0
0.898031,-0.113281,0.078125,9.76562,0.320312,-0.101562,0.373047,1,0,0,0
0.924093,0.0390625,-0.421875,9.53906,0.320312,-0.101562,0.373047,1,0,0,0
0.952618,0.0390625,-0.421875,9.53906,0.21875,-0.191406,0.441406,1,0,0,0
0.979678,0.0390625,-0.421875,9.53906,0.0917969,-0.128906,0.386719,1,0,0,0
1.00779,0.0390625,-0.421875,9.53906,0.203125,-0.105469,0.496094,1,0,0,0
1.03384,0.152344,0.652344,9.84766,0.203125,-0.105469,0.496094,1,0,0,0
1.06294,0.152344,0.652344,9.84766,0.0839844,-0.078125,0.714844,1,0,0,0
1.08939,-0.078125,0.0390625,9.76562,0.0839844,-0.078125,0.714844,1,0,0,0
1.11748,-0.078125,0.0390625,9.76562,0.142578,-0.146484,0.697266,1,0,0,0
1.14358,-0.199219,0.742188,-0.230469,0.142578,-0.146484,0.697266,1,0,0,0
1.17211,-0.199219,0.742188,-0.230469,0.167969,-0.154297,0.75,1,0,0,0
1.19939,-0.199219,0.742188,-0.230469,-0.0800781,-0.0800781,0.861328,1,0,0,0
1.22687,-0.078125,0.0390625,9.50391,-0.0800781,-0.0800781,0.861328,1,0,0,0
1.25291,0.152344,0.421875,9.80859,-0.0800781,-0.0800781,0.861328,1,0,0,0
1.2814,0.152344,0.421875,9.80859,0.0175781,-0.0683594,0.958984,1,0,0,0
1.30844,0.152344,0.421875,9.80859,0.119141,-0.0742188,0.9375,1,0,0,0
1.33593,0.191406,-0.191406,9.54297,0.119141,-0.0742188,0.9375,1,0,0,0
1.36277,0.191406,-0.191406,9.54297,0.119141,-0.0742188,0.9375,0.982178,-0.0331421,-0.0291138,0.182861
1.39137,0.113281,-0.421875,9.61328,0.119141,-0.0742188,0.9375,0.982178,-0.0331421,-0.0291138,0.182861
1.41843,0.078125,-0.496094,9.80469,0.119141,-0.0742188,0.9375,0.982178,-0.0331421,-0.0291138,0.182861
1.44593,-0.0390625,-0.691406,10.0703,0.119141,-0.0742188,0.9375,0.982178,-0.0331421,-0.0291138,0.182861
1.47196,-0.492188,-0.101562,0.359375,0.119141,-0.0742188,0.9375,0.982178,-0.0331421,-0.0291138,0.182861
1.50049,-0.492188,-0.101562,0.359375,-0.205078,-0.148438,0.757812,0.982178,-0.0331421,-0.0291138,0.182861
1.52689,0.535156,-0.382812,8.69531,-0.205078,-0.148438,0.757812,0.982178,-0.0331421,-0.0291138,0.182861
1.55295,0.191406,-0.152344,9.76953,-0.205078,-0.148438,0.757812,0.982178,-0.0331421,-0.0291138,0.182861
1.58149,0.191406,-0.152344,9.76953,-0.0195312,0.0371094,0.929688,0.982178,-0.0331421,-0.0291138,0.182861
1.60855,0.0390625,-0.113281,10.0312,-0.0195312,0.0371094,0.929688,0.982178,-0.0331421,-0.0291138,0.182861
1.63606,0.0390625,-0.113281,10.0312,-0.277344,-0.130859,0.847656,0.982178,-0.0331421,-0.0291138,0.182861
1.66253,-0.195312,0.667969,-0.804688,-0.277344,-0.130859,0.847656,0.982178,-0.0331421,-0.0291138,0.182861
1.69109,-0.195312,0.667969,-0.804688,0.0898438,-0.142578,0.890625,0.982178,-0.0331421,-0.0291138,0.182861
1.71816,0.496094,0.84375,9.50391,0.0898438,-0.142578,0.890625,0.982178,-0.0331421,-0.0291138,0.182861
1.74565,0.460938,0.191406,9.30859,0.0898438,-0.142578,0.890625,0.982178,-0.0331421,-0.0291138,0.182861
1.77194,0.460938,0.191406,9.30859,0.0898438,-0.142578,0.890625,0.929565,-0.0310059,-0.0299072,0.366089
1.80048,0.460938,0.191406,9.30859,-0.0292969,-0.0371094,1.27344,0.929565,-0.0310059,-0.0299072,0.366089
1.82751,-0.34375,-0.726562,8.62109,-0.0292969,-0.0371094,1.27344,0.929565,-0.0310059,-0.0299072,0.366089
1.85359,-0.421875,-0.230469,9.23047,-0.0292969,-0.0371094,1.27344,0.929565,-0.0310059,-0.0299072,0.366089
1.88151,-0.421875,-0.230469,9.23047,0.138672,0.00585938,1.125,0.929565,-0.0310059,-0.0299072,0.366089
1.90864,-0.421875,-0.230469,9.23047,0.0800781,0.078125,1.16602,0.929565,-0.0310059,-0.0299072,0.366089
1.93471,-0.421875,-0.230469,9.23047,-0.25,0.259766,1.16016,0.929565,-0.0310059,-0.0299072,0.366089
1.96286,-0.421875,-0.230469,9.23047,-0.25,0.335938,1.30859,0.929565,-0.0310059,-0.0299072,0.366089
1.99008,-0.421875,-0.230469,9.23047,0.1875,0.292969,1.39844,0.929565,-0.0310059,-0.0299072,0.366089
2.01861,-1.10938,-1.99219,9.64844,0.1875,0.292969,1.39844,0.929565,-0.0310059,-0.0299072,0.366089
2.04467,-0.804688,-0.957031,11.418,0.1875,0.292969,1.39844,0.929565,-0.0310059,-0.0299072,0.366089
2.07258,-0.308594,-0.679688,1.60547,0.1875,0.292969,1.39844,0.929565,-0.0310059,-0.0299072,0.366089
2.09969,-0.308594,-0.679688,1.60547,-0.423828,0.255859,1.24023,0.929565,-0.0310059,-0.0299072,0.366089
2.12717,-0.652344,-1.83984,10.3477,-0.423828,0.255859,1.24023,0.929565,-0.0310059,-0.0299072,0.366089
2.15352,-0.726562,-2.33594,9.88281,-0.423828,0.255859,1.24023,0.929565,-0.0310059,-0.0299072,0.366089
2.18239,-0.726562,-2.33594,9.88281,-0.142578,0.140625,0.984375,0.929565,-0.0310059,-0.0299072,0.366089
2.20951,-0.574219,-2.18359,10.1094,-0.142578,0.140625,0.984375,0.929565,-0.0310059,-0.0299072,0.366089
2.2376,-0.574219,-2.18359,10.1094,-0.177734,0.144531,0.988281,0.929565,-0.0310059,-0.0299072,0.366089
2.26363,-0.09375,-2.34766,0.273438,-0.177734,0.144531,0.988281,0.929565,-0.0310059,-0.0299072,0.366089
2.29241,-0.09375,-2.34766,0.273438,-0.0488281,0.0429688,0.691406,0.929565,-0.0310059,-0.0299072,0.366089
2.31907,-0.765625,-2.56641,10.457,-0.0488281,0.0429688,0.691406,0.929565,-0.0310059,-0.0299072,0.366089
2.34722,-0.496094,-3.29297,10,-0.0488281,0.0429688,0.691406,0.929565,-0.0310059,-0.0299072,0.366089
2.37331,0.222656,-2.52734,-0.0507812,-0.0488281,0.0429688,0.691406,0.929565,-0.0310059,-0.0299072,0.366089
2.40185,0.222656,-2.52734,-0.0507812,-0.121094,-0.00390625,0.166016,0.929565,-0.0310059,-0.0299072,0.366089
2.42895,0.222656,-2.52734,-0.0507812,-0.636719,0.0078125,0.208984,0.929565,-0.0310059,-0.0299072,0.366089
2.45705,-0.421875,-2.87109,8.77734,-0.636719,0.0078125,0.208984,0.929565,-0.0310059,-0.0299072,0.366089
2.48308,0.285156,-1.21094,-0.316406,-0.636719,0.0078125,0.208984,0.929565,-0.0310059,-0.0299072,0.366089
2.51124,0.285156,-1.21094,-0.316406,-0.0761719,0.0839844,0.0976562,0.929565,-0.0310059,-0.0299072,0.366089
2.53827,0.285156,-1.21094,-0.316406,-0.119141,-0.0371094,0.230469,0.929565,-0.0310059,-0.0299072,0.366089
2.56579,0.285156,-1.21094,-0.316406,0.134766,-0.0175781,0.185547,0.929565,-0.0310059,-0.0299072,0.366089
2.59203,0.285156,-1.21094,-0.316406,0.134766,-0.0175781,0.185547,0.754944,-0.0717163,-0.00183105,0.651917
2.62126,0.285156,-1.21094,-0.316406,-0.0664062,0.0292969,-0.0878906,0.754944,-0.0717163,-0.00183105,0.651917
2.64845,-0.574219,-1.91406,9.60938,-0.0664062,0.0292969,-0.0878906,0.754944,-0.0717163,-0.00183105,0.651917
2.67514,-0.421875,-1.22656,9.72656,-0.0664062,0.0292969,-0.0878906,0.754944,-0.0717163,-0.00183105,0.651917
2.70308,-0.421875,-1.22656,9.72656,-0.0820312,0.0449219,0.00585938,0.754944,-0.0717163,-0.00183105,0.651917
2.73013,-0.421875,-1.22656,9.72656,0.154297,-0.0273438,-0.0195312,0.754944,-0.0717163,-0.00183105,0.651917
2.75874,-0.421875,-1.22656,9.72656,0.0214844,0.00195312,-0.0742188,0.754944,-0.0717163,-0.00183105,0.651917
2.78501,-0.535156,-1.53125,9.6875,0.0214844,0.00195312,-0.0742188,0.754944,-0.0717163,-0.00183105,0.651917
2.81295,0.230469,-0.046875,0.441406,0.0214844,0.00195312,-0.0742188,0.754944,-0.0717163,-0.00183105,0.651917
2.83937,-0.269531,-0.535156,10.3047,0.0214844,0.00195312,-0.0742188,0.754944,-0.0717163,-0.00183105,0.651917
2.86688,-0.574219,-2.03125,8.96484,0.0214844,0.00195312,-0.0742188,0.754944,-0.0717163,-0.00183105,0.651917
2.89292,-0.84375,-2.03125,9.11719,0.0214844,0.00195312,-0.0742188,0.754944,-0.0717163,-0.00183105,0.651917
2.92146,-0.84375,-2.03125,9.11719,0.322266,0.0117188,-0.119141,0.754944,-0.0717163,-0.00183105,0.651917
2.94827,-0.574219,-0.574219,10.4141,0.322266,0.0117188,-0.119141,0.754944,-0.0717163,-0.00183105,0.651917
2.97436,-0.382812,-1.22656,9.58203,0.322266,0.0117188,-0.119141,0.754944,-0.0717163,-0.00183105,0.651917
3.00222,-0.382812,-1.22656,9.58203,-0.0742188,0.0351562,0.105469,0.754944,-0.0717163,-0.00183105,0.651917
3.02929,-0.382812,-1.22656,9.58203,0.220703,0.0273438,-0.130859,0.754944,-0.0717163,-0.00183105,0.651917
3.05754,-0.382812,-1.22656,9.58203,0.0664062,-0.00390625,-0.257812,0.754944,-0.0717163,-0.00183105,0.651917
3.08357,0.4375,0.167969,0.0820312,0.0664062,-0.00390625,-0.257812,0.754944,-0.0717163,-0.00183105,0.651917
3.11252,0.4375,0.167969,0.0820312,0.152344,-0.00390625,-0.015625,0.754944,-0.0717163,-0.00183105,0.651917
3.13898,-0.535156,-0.84375,9.60938,0.152344,-0.00390625,-0.015625,0.754944,-0.0717163,-0.00183105,0.651917
3.16651,-0.496094,-0.691406,9.57812,0.152344,-0.00390625,-0.015625,0.754944,-0.0717163,-0.00183105,0.651917
3.19286,0.484375,0.535156,0.257812,0.152344,-0.00390625,-0.015625,0.754944,-0.0717163,-0.00183105,0.651917
3.22135,0.484375,0.535156,0.257812,0.0585938,0.0371094,0.207031,0.754944,-0.0717163,-0.00183105,0.651917
3.24799,-0.535156,-1.60938,9.53906,0.0585938,0.0371094,0.207031,0.754944,-0.0717163,-0.00183105,0.651917
3.27401,-0.957031,-0.652344,10.1914,0.0585938,0.0371094,0.207031,0.754944,-0.0717163,-0.00183105,0.651917
3.30265,-0.957031,-0.652344,10.1914,0.130859,0.0136719,0.121094,0.754944,-0.0717163,-0.00183105,0.651917
