t,ax,ay,az,gx,gy,gz,qw,qi,qj,qk
0.0307019,9.80859,-0.269531,1.95312,0,0,0,1,0,0,0
0.045081,10.0039,-0.230469,1.91406,0,0,0,1,0,0,0
0.0606427,9.88672,-0.269531,1.83984,0,0,0,1,0,0,0
0.076604,10.1484,-0.191406,1.95312,0,0,0,1,0,0,0
0.0902108,10,-0.113281,2.45312,0,0,0,1,0,0,0
0.126371,10,-0.113281,2.45312,-0.0234375,0.21875,0.0175781,1,0,0,0
0.165327,10,-0.113281,2.45312,-0.134766,0.457031,0.0507812,1,0,0,0
0.203486,10.5742,0.917969,2.56641,-0.134766,0.457031,0.0507812,1,0,0,0
0.225517,9.34375,-0.917969,1.99219,-0.134766,0.457031,0.0507812,1,0,0,0
0.251585,9.34375,-0.917969,1.99219,-0.123047,0.619141,0.201172,1,0,0,0
0.280104,9.34375,-0.917969,1.99219,-0.0898438,-0.113281,-0.0488281,1,0,0,0
0.307483,9.34375,-0.917969,1.99219,-0.296875,-0.251953,0.373047,1,0,0,0
0.335572,8.84375,-1.57031,1.99219,-0.296875,-0.251953,0.373047,1,0,0,0
0.361618,-1.15625,0.171875,0.777344,-0.296875,-0.251953,0.373047,1,0,0,0
0.390158,-1.15625,0.171875,0.777344,-0.232422,-0.515625,0.0722656,1,0,0,0
0.417219,-1.15625,0.171875,0.777344,-0.244141,0.496094,0.3125,1,0,0,0
0.444728,-1.15625,0.171875,0.777344,0.103516,0.0527344,-0.0664062,1,0,0,0
0.471195,-0.660156,0.0664062,0.0273438,0.103516,0.0527344,-0.0664062,1,0,0,0
0.499804,-0.660156,0.0664062,0.0273438,-0.0371094,-0.148438,-0.203125,1,0,0,0
0.526905,9.57812,-0.152344,1.80078,-0.0371094,-0.148438,-0.203125,1,0,0,0
0.552981,8.73828,-1.33984,1.03516,-0.0371094,-0.148438,-0.203125,1,0,0,0
0.58148,8.73828,-1.33984,1.03516,0.0253906,0.181641,0,1,0,0,0
0.608516,8.73828,-1.33984,1.03516,0.212891,-0.294922,-0.554688,1,0,0,0
0.636424,8.5,-0.34375,0.804688,0.212891,-0.294922,-0.554688,1,0,0,0
0.662562,7.39453,-0.535156,1.10938,0.212891,-0.294922,-0.554688,1,0,0,0
0.691213,7.39453,-0.535156,1.10938,0.126953,0.242188,-0.464844,1,0,0,0
0.718279,7.39453,-0.535156,1.10938,0.132812,0.0683594,-0.507812,1,0,0,0
0.745785,7.39453,-0.535156,1.10938,0.0527344,0.667969,-0.0761719,1,0,0,0
0.771927,8.31641,0.34375,1.91406,0.0527344,0.667969,-0.0761719,1,0,0,0
0.80071,8.31641,0.34375,1.91406,0.189453,0.53125,-0.1875,1,0,0,0
0.827908,8.66016,0.230469,2.48828,0.189453,0.53125,-0.1875,1,0,0,0
0.856906,8.73438,0.917969,3.10156,0.189453,0.53125,-0.1875,1,0,0,0
0.882988,-1.11719,-0.230469,-0.511719,0.189453,0.53125,-0.1875,1,0,0,0
0.910878,-1.53516,-0.546875,-0.21875,0.189453,0.53125,-0.1875,1,0,0,0
0.937941,-1.53516,-0.546875,-0.21875,0.197266,0.617188,-0.503906,1,0,0,0
0.966093,9.34375,1.33984,3.5625,0.197266,0.617188,-0.503906,1,0,0,0
0.9922,8.81641,1.41797,4.25391,0.197266,0.617188,-0.503906,1,0,0,0
1.02011,8.81641,1.41797,4.25391,0.126953,0.984375,-0.0332031,1,0,0,0
1.04718,8.81641,1.41797,4.25391,0.164062,0.935547,-0.0996094,1,0,0,0
1.07469,8.81641,1.41797,4.25391,0.214844,0.757812,-0.253906,1,0,0,0
1.10144,8.81641,1.41797,4.25391,0.214844,0.757812,-0.253906,0.871216,0.0404663,-0.488098,-0.0336914
1.12957,8.88281,1.95312,5.74609,0.214844,0.757812,-0.253906,0.871216,0.0404663,-0.488098,-0.0336914
1.15665,8.27344,1.03516,5.51562,0.214844,0.757812,-0.253906,0.871216,0.0404663,-0.488098,-0.0336914
1.18267,8.46094,1.49219,6.47266,0.214844,0.757812,-0.253906,0.871216,0.0404663,-0.488098,-0.0336914
1.21119,8.46094,1.49219,6.47266,0.0683594,0.740234,-0.0507812,0.871216,0.0404663,-0.488098,-0.0336914
1.23826,8.46094,1.49219,6.47266,0.103516,0.728516,-0.113281,0.871216,0.0404663,-0.488098,-0.0336914
1.26573,8.46094,1.49219,6.47266,0.166016,0.576172,-0.0527344,0.871216,0.0404663,-0.488098,-0.0336914
1.29176,7.89453,1.26562,6.62891,0.166016,0.576172,-0.0527344,0.871216,0.0404663,-0.488098,-0.0336914
1.31963,7.43359,1.45703,7.08594,0.166016,0.576172,-0.0527344,0.871216,0.0404663,-0.488098,-0.0336914
1.34668,7.43359,1.45703,7.08594,0.0234375,0.552734,-0.0742188,0.871216,0.0404663,-0.488098,-0.0336914
1.37273,7.43359,1.45703,7.08594,0.0449219,0.466797,-0.160156,0.871216,0.0404663,-0.488098,-0.0336914
1.40128,7.43359,1.45703,7.08594,0.0898438,0.402344,-0.136719,0.871216,0.0404663,-0.488098,-0.0336914
1.42837,7.73438,1.91406,6.78125,0.0898438,0.402344,-0.136719,0.871216,0.0404663,-0.488098,-0.0336914
1.45691,7.27734,1.68359,6.85547,0.0898438,0.402344,-0.136719,0.871216,0.0404663,-0.488098,-0.0336914
1.48301,6.97266,1.30078,7.00781,0.0898438,0.402344,-0.136719,0.871216,0.0404663,-0.488098,-0.0336914
1.51089,6.97266,1.30078,7.00781,0.0625,0.353516,-0.0488281,0.871216,0.0404663,-0.488098,-0.0336914
1.53793,6.97266,1.30078,7.00781,0.0859375,0.353516,-0.121094,0.871216,0.0404663,-0.488098,-0.0336914
1.56541,6.97266,1.30078,7.00781,0.0722656,0.3125,-0.117188,0.871216,0.0404663,-0.488098,-0.0336914
1.59145,6.85547,1.45703,6.58984,0.0722656,0.3125,-0.117188,0.871216,0.0404663,-0.488098,-0.0336914
1.62034,6.85547,1.45703,6.58984,0.160156,0.201172,-0.0664062,0.871216,0.0404663,-0.488098,-0.0336914
1.64742,6.35938,1.68359,7.35547,0.160156,0.201172,-0.0664062,0.871216,0.0404663,-0.488098,-0.0336914
1.6749,6.35938,1.68359,7.35547,0.0742188,0.416016,-0.0585938,0.871216,0.0404663,-0.488098,-0.0336914
1.70122,-0.332031,-0.140625,-0.164062,0.0742188,0.416016,-0.0585938,0.871216,0.0404663,-0.488098,-0.0336914
1.72971,-0.332031,-0.140625,-0.164062,0.228516,0.320312,-0.191406,0.871216,0.0404663,-0.488098,-0.0336914
1.75686,6.28125,2.26172,7.77734,0.228516,0.320312,-0.191406,0.871216,0.0404663,-0.488098,-0.0336914
1.78432,6.35938,2.10547,7.46875,0.228516,0.320312,-0.191406,0.871216,0.0404663,-0.488098,-0.0336914
1.81038,6.35938,2.10547,7.46875,0.228516,0.320312,-0.191406,0.940613,0.0866699,-0.326416,-0.0335083
1.83887,6.35938,2.10547,7.46875,0.111328,0.412109,-0.132812,0.940613,0.0866699,-0.326416,-0.0335083
1.86612,6.28125,2.26172,7.625,0.111328,0.412109,-0.132812,0.940613,0.0866699,-0.326416,-0.0335083
1.89366,5.78516,1.91406,7.77734,0.111328,0.412109,-0.132812,0.940613,0.0866699,-0.326416,-0.0335083
1.92014,5.78516,1.91406,7.77734,0.0605469,0.396484,-0.0722656,0.940613,0.0866699,-0.326416,-0.0335083
1.94866,5.28516,2.03125,7.55078,0.0605469,0.396484,-0.0722656,0.940613,0.0866699,-0.326416,-0.0335083
1.97593,5.47656,2.41406,7.69531,0.0605469,0.396484,-0.0722656,0.940613,0.0866699,-0.326416,-0.0335083
2.0034,5.66797,2.56641,7.58984,0.0605469,0.396484,-0.0722656,0.940613,0.0866699,-0.326416,-0.0335083
2.02982,5.66797,2.56641,7.58984,0.0605469,0.517578,0.0273438,0.940613,0.0866699,-0.326416,-0.0335083
2.05796,5.66797,2.56641,7.58984,0.00390625,0.408203,-0.0234375,0.940613,0.0866699,-0.326416,-0.0335083
2.08399,4.51953,1.53125,7.55078,0.00390625,0.408203,-0.0234375,0.940613,0.0866699,-0.326416,-0.0335083
2.11152,4.59766,1.76172,7.50781,0.00390625,0.408203,-0.0234375,0.940613,0.0866699,-0.326416,-0.0335083
2.13858,4.59766,1.76172,7.50781,0.167969,0.414062,-0.261719,0.940613,0.0866699,-0.326416,-0.0335083
2.16669,4.59766,1.76172,7.50781,0.138672,0.263672,-0.285156,0.940613,0.0866699,-0.326416,-0.0335083
2.19271,4.71094,2.10547,7.89062,0.138672,0.263672,-0.285156,0.940613,0.0866699,-0.326416,-0.0335083
2.22152,4.71094,2.10547,7.89062,0.0839844,0.447266,-0.214844,0.940613,0.0866699,-0.326416,-0.0335083
2.24843,4.71094,2.29688,8.19531,0.0839844,0.447266,-0.214844,0.940613,0.0866699,-0.326416,-0.0335083
2.27703,3.67578,1.87891,8.62109,0.0839844,0.447266,-0.214844,0.940613,0.0866699,-0.326416,-0.0335083
2.30308,-0.84375,-0.824219,-0.0703125,0.0839844,0.447266,-0.214844,0.940613,0.0866699,-0.326416,-0.0335083
2.33096,0.164062,-0.328125,0.0117188,0.0839844,0.447266,-0.214844,0.940613,0.0866699,-0.326416,-0.0335083
2.35802,0.164062,-0.328125,0.0117188,0.189453,0.238281,-0.355469,0.940613,0.0866699,-0.326416,-0.0335083
2.3862,4.44531,2.91016,8.58203,0.189453,0.238281,-0.355469,0.940613,0.0866699,-0.326416,-0.0335083
2.41223,3.60156,2.48828,8.66016,0.189453,0.238281,-0.355469,0.940613,0.0866699,-0.326416,-0.0335083
2.4401,3.60156,2.48828,8.66016,0.199219,0.261719,-0.355469,0.940613,0.0866699,-0.326416,-0.0335083
2.46716,3.60156,2.48828,8.66016,0.144531,0.210938,-0.347656,0.940613,0.0866699,-0.326416,-0.0335083
2.49317,3.60156,2.48828,8.66016,0.0839844,0.314453,-0.224609,0.940613,0.0866699,-0.326416,-0.0335083
2.52135,3.60156,2.48828,8.66016,0.09375,0.363281,-0.193359,0.940613,0.0866699,-0.326416,-0.0335083
2.54805,3.60156,2.48828,8.66016,0,0.314453,-0.0898438,0.940613,0.0866699,-0.326416,-0.0335083
2.57658,3.06641,2.83594,8.5,0,0.314453,-0.0898438,0.940613,0.0866699,-0.326416,-0.0335083
2.6029,-0.515625,-0.382812,-0.03125,0,0.314453,-0.0898438,0.940613,0.0866699,-0.326416,-0.0335083
2.63144,-0.515625,-0.382812,-0.03125,-0.00585938,0.322266,-0.185547,0.940613,0.0866699,-0.326416,-0.0335083
2.65855,-0.515625,-0.382812,-0.03125,0.0234375,0.363281,-0.263672,0.940613,0.0866699,-0.326416,-0.0335083
2.68742,-0.515625,-0.382812,-0.03125,0.148438,0.191406,-0.404297,0.940613,0.0866699,-0.326416,-0.0335083
2.71411,3.52344,3.86719,8.58203,0.148438,0.191406,-0.404297,0.940613,0.0866699,-0.326416,-0.0335083
2.74233,3.52344,3.86719,8.58203,-0.109375,0.517578,-0.0214844,0.940613,0.0866699,-0.326416,-0.0335083
2.76883,3.52344,3.86719,8.58203,-0.0371094,0.472656,0.0253906,0.940613,0.0866699,-0.326416,-0.0335083
2.7975,3.52344,3.86719,8.58203,-0.0488281,0.484375,-0.15625,0.940613,0.0866699,-0.326416,-0.0335083
2.82362,1.76172,2.94922,8.69531,-0.0488281,0.484375,-0.15625,0.940613,0.0866699,-0.326416,-0.0335083
2.85157,-0.00390625,0.152344,-0.265625,-0.0488281,0.484375,-0.15625,0.940613,0.0866699,-0.326416,-0.0335083
2.87829,-0.00390625,0.152344,-0.265625,0.0898438,0.488281,-0.291016,0.940613,0.0866699,-0.326416,-0.0335083
2.90647,1.87891,3.86719,9.19531,0.0898438,0.488281,-0.291016,0.940613,0.0866699,-0.326416,-0.0335083
2.93249,2.52734,3.86719,8.84375,0.0898438,0.488281,-0.291016,0.940613,0.0866699,-0.326416,-0.0335083
2.96101,2.52734,3.86719,8.84375,0.00585938,0.523438,-0.105469,0.940613,0.0866699,-0.326416,-0.0335083
2.98807,2.52734,3.86719,8.84375,0.167969,0.310547,-0.283203,0.940613,0.0866699,-0.326416,-0.0335083
3.01622,1.60938,3.5625,8.73828,0.167969,0.310547,-0.283203,0.940613,0.0866699,-0.326416,-0.0335083
3.04224,-0.625,-0.1875,-0.40625,0.167969,0.310547,-0.283203,0.940613,0.0866699,-0.326416,-0.0335083
3.07009,-0.625,-0.1875,-0.40625,0.248047,0.173828,-0.486328,0.940613,0.0866699,-0.326416,-0.0335083
3.09722,-0.625,-0.1875,-0.40625,0.240234,0.369141,-0.308594,0.940613,0.0866699,-0.326416,-0.0335083
3.1247,-0.625,-0.1875,-0.40625,0.136719,0.554688,-0.136719,0.940613,0.0866699,-0.326416,-0.0335083
3.15072,-0.921875,-0.308594,0.394531,0.136719,0.554688,-0.136719,0.940613,0.0866699,-0.326416,-0.0335083
3.17915,-0.921875,-0.308594,0.394531,0.09375,-63.7637,-0.427734,0.940613,0.0866699,-0.326416,-0.0335083
3.2063,1.07422,3.94531,8.66016,0.09375,-63.7637,-0.427734,0.940613,0.0866699,-0.326416,-0.0335083
3.23235,0.269531,3.79297,9.07812,0.09375,-63.7637,-0.427734,0.940613,0.0866699,-0.326416,-0.0335083
3.26094,0.269531,3.79297,9.07812,0.0820312,0.271484,-0.205078,0.940613,0.0866699,-0.326416,-0.0335083
3.28803,0.269531,3.79297,9.07812,0.121094,0.339844,-0.287109,0.940613,0.0866699,-0.326416,-0.0335083
3.31552,0.269531,3.79297,9.07812,0.175781,0.287109,-0.361328,0.940613,0.0866699,-0.326416,-0.0335083
